listings_count,count,
1,43455,
2,11838,
3,5005,
4,3158,
5,1750,
6,1504,
7,1129,
8,920,
9,675,
10,750,
11,583,
12,671,
13,299,
14,434,
15,420,
16,431,
17,391,
18,360,
19,418,
20,420,
21,315,
22,242,
23,184,
24,264,
25,224,
26,130,
27,324,
28,168,
29,232,
30,150,
31,341,
32,64,
33,165,
34,68,
35,175,
36,216,
37,111,
38,114,
39,78,
40,120,
41,82,
42,168,
43,43,
45,135,
46,92,
47,141,
48,239,
49,147,
50,200,
51,153,
52,104,
53,106,
54,108,
56,56,
57,57,
58,116,
59,118,
60,180,
61,61,
64,128,
65,65,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,