,2016 count,2019 count,2020 count,2021 count,2022 count,2023 count,2024 count
single_unit_host,31455,43455,42120,22981,37505,43381,45937
multi_unit_host,2255,37340,34864,22019,31846,44565,50245
single_host,31455,43455,42120,22981,37505,43381,45937
multi__host,NA,1920,4730,4211,4430,6588,6120
total_host_number,NA,45375,46850,27192,41935,49969,52057
Entire home/apt,NA,47384,42001,39115,41224,54575,61321
Private room,NA,35787,32913,30527,27479,32711,34236
Hotel room,NA,1113,1449,563,404,441,437
Shared room,NA,627,621,412,244,219,188
total_listings,0,84911,76984,70617,69351,87946,96182